Case and Offense,Case Number,Reported Date,Nature Of Call,From Date,Offense,Description,Block Address,City,State,Beat,Division,Council District,Attempt Complete,Location Type,Location Description,Location
230001494-WAR,230001494,1/6/2023,MISSING VEHICLE,1/6/2023 14:39,WAR,LOCAL Local Class C Warrants,4200 PANOLA AVE,FORT WORTH,TX,G14,East,8,C,13,13 HIGHWAY/ROAD/ALLEY,
230007030-13B,230007030,1/27/2023,ASSAULT,12/26/2022 16:00,13B,PC 22.01(A)(1) Assault Causes Bodily Injury,8600 AXIS DEER RUN,FORT WORTH,TX,D15,Northwest,7,C,20,20 RESIDENCE/HOME,"(32.88101107796728, -97.41969192435684)"
230007433-520,230007433,1/29/2023,WEAPONS,1/29/2023 0:34,520,PC 46.02(B) Unl Carrying Weapon / UCW,3000 BRIGHT ST,FORT WORTH,TX,G16,East,5,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.71656847604249, -97.27150880868345)"
230311108-23H,230311108,1/23/2023,THEFT,1/21/2023 0:00,23H,PC 31.03(E)(4)(A) Theft Property >= $2500<$30K  (t,13800 INDEPENDENCE PKWY,FORT WORTH,TX,F11,North,7,C,6,06 CONSTRUCTION SITE,"(32.982585614250276, -97.25135685117705)"
230005310-13B,230005310,1/20/2023,ASSAULT,1/20/2023 15:12,13B,GC 088-03 Assault by Offensive Contact Family or D,13300 DOVE RANCH RD,FORT WORTH,TX,F12,North,7,C,20,20 RESIDENCE/HOME,"(32.974494381023526, -97.28771590032116)"
230007524-90Z,230007524,1/29/2023,HARASS,1/29/2023 9:30,90Z,PC 42.07(C) Harassment,1400 N HOUSTON ST,FORT WORTH,TX,C16,Northwest,2,C,20,20 RESIDENCE/HOME,"(32.777480945061875, -97.34836255420241)"
230006946-23H,230006946,1/27/2023,THEFT,1/26/2023 16:00,23H,PC 31.03(e)(2)(A)  Theft Property >=$100<$750,9500 NEHEMIAH DR,FORT WORTH,TX,L17,West,3,C,18,18 PARKING LOT/GARAGE,"(32.729120334477145, -97.48583207012625)"
230001494-90Z,230001494,1/6/2023,MISSING VEHICLE,1/6/2023 14:39,90Z,PC 38.02(D)(2) Fail ID Fugi Int Give Fals Info,4200 PANOLA AVE,FORT WORTH,TX,G14,East,8,C,13,13 HIGHWAY/ROAD/ALLEY,
230310830-23H,230310830,1/8/2023,THEFT,12/14/2022 23:45,23H,PC 31.03(E)(4)(F) Thft  Mat Alum/Brnz/Cop/Brass<20,500 N BEACH ST,FORT WORTH,TX,A17,Central,4,C,5,05 COMMERCIAL/OFFICE BUILDING,"(32.77154659242143, -97.28739056701248)"
230006263-13B,230006263,1/24/2023,ASSAULT,1/24/2023 15:42,13B,PC 22.01(A)(1) Assault Causes Bodily Injury,4200 SOUTH FWY,FORT WORTH,TX,I11,South,9,C,21,21 RESTAURANT,"(32.68740894175712, -97.32079903844469)"
230006604-WAR,230006604,1/25/2023,PENAL CODE,1/25/2023 22:30,WAR,OT WARRANT Out of Town Warrant,2700 AZLE AVE,FORT WORTH,TX,D12,Northwest,2,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.79768274474425, -97.37781872906298)"
230310943-23H,230310943,1/19/2023,THEFT,1/16/2023 7:01,23H,PC 31.03(e)(2)(A)  Theft Property >=$100<$750,1200 PEPPERHILL LN,FORT WORTH,TX,F16,North,2,C,6,06 CONSTRUCTION SITE,"(32.903013553621236, -97.34126832059934)"
230007124-13B,230007124,1/27/2023,ASSAULT,1/27/2023 18:05,13B,PC 22.01(A)(1)FV Aslt Causes B/I Family Member,MEADOW CREEK DR & SAGEHILL DR,FORT WORTH,TX,J19,South,6,C,13,13 HIGHWAY/ROAD/ALLEY,
230006843-13C,230006843,1/26/2023,ASSAULT BY THREAT,1/26/2023 14:15,13C,GC 088 Assault by threat-Class C,13000 SAGINAW BLVD,FORT WORTH,TX,F16,North,7,C,25,25 OTHER/UNKNOWN,"(32.966052894683884, -97.42056211749788)"
230310831-23H,230310831,1/8/2023,THEFT RECYCLE,1/8/2023 10:10,23H,PC 31.03(E)(4)(F) Thft  Mat Alum/Brnz/Cop/Brass<20,500 N BEACH ST,FORT WORTH,TX,A17,Central,4,C,5,05 COMMERCIAL/OFFICE BUILDING,"(32.77154659242143, -97.28739056701248)"
230311020-23F,230311020,1/20/2023,BURGLARY VEHICLE,1/20/2023 1:00,23F,PC 30.04(A) Burglary Vehicle,8400 BUCK MOUNTAIN PASS,FORT WORTH,TX,D15,Northwest,7,C,20,20 RESIDENCE/HOME,"(32.873045522963274, -97.39240432324172)"
230006013-WAR,230006013,1/23/2023,PENAL CODE,1/23/2023 15:30,WAR,LOCAL Local Class C Warrants,3400 AVE L,FORT WORTH,TX,G12,East,5,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.725268086193736, -97.27643070498489)"
230006604-35A,230006604,1/25/2023,PENAL CODE,1/25/2023 22:30,35A,HSC 481.121(B)(1) Poss Marij <=2OZ,2700 AZLE AVE,FORT WORTH,TX,D12,Northwest,2,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.79768274474425, -97.37781872906298)"
230005864-90C,230005864,1/23/2023,PENAL CODE,1/22/2023 20:00,90C,PC 42.01(d) DISORDERLY CONDUCT DISCHARGE/DISPLAY F,5400 HEMPHILL ST,FORT WORTH,TX,J13,South,9,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.66644688641987, -97.3317351614361)"
230006821-13B,230006821,1/26/2023,ASSAULT,1/26/2023 15:03,13B,PC 22.01(A)(1) Assault Causes Bodily Injury,MC CART AVE & ALTAMESA BLVD,FORT WORTH,TX,J16,South,6,C,21,21 RESTAURANT,
230005925-13B,230005925,1/23/2023,ASSAULT,1/23/2023 12:42,13B,PC 22.01(A)(1) Assault Causes Bodily Injury,SLOCUM AVE & BONNIE DR,FORT WORTH,TX,L12,West,3,C,10,10 FIELD/WOODS,
230007433-90C,230007433,1/29/2023,WEAPONS,1/29/2023 0:34,90C,PC 42.01(d) DISORDERLY CONDUCT DISCHARGE/DISPLAY F,3000 BRIGHT ST,FORT WORTH,TX,G16,East,5,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.71656847604249, -97.27150880868345)"
230007113-520,230007113,1/27/2023,PENAL CODE,1/27/2023 16:41,520,PC 42.12(B) Discharge Firearm Certain Munici,3900 MALIBU SUN DR,FORT WORTH,TX,E14,North,4,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.88898557817766, -97.29999186120402)"
230009430-90Z,230009430,2/7/2023,HARASS,10/1/2022 12:00,90Z,PC 42.07(C) Harassment,700 SANDSTONE DR,FORT WORTH,TX,H12,East,5,C,20,20 RESIDENCE/HOME,"(32.769921539157934, -97.21086777261246)"
230311000-23C,230311000,1/20/2023,THEFT,1/13/2023 19:24,23C,PC 31.03(E)(2)(A)   PC 31.03(E)(2)(A)  2015 Theft,2200 PORTER CREEK DR,FORT WORTH,TX,F17,North,7,C,8,08 DEPARTMENT/DISCOUNT STORE,"(32.899713564499855, -97.32595689107778)"
230310809-13A,230310809,1/16/2023,AG ASSAULT,1/12/2023 19:20,13A,PC 22.02(A)(2) Agg Asslt w/Deadly Weapon,CROMWELL MARINE CREEK RD & MARINE CREEK PKWY,FORT WORTH,TX,D14,Northwest,2,C,13,13 HIGHWAY/ROAD/ALLEY,
230008317-120,230008317,2/2/2023,ROBBERY PERSON,2/2/2023 20:18,120,PC 29.02 Robbery,BONG DR & STALCUP RD,FORT WORTH,TX,G17,East,5,C,13,13 HIGHWAY/ROAD/ALLEY,
230008026-100,230008026,1/31/2023,SEXUAL ASSAULT,1/31/2023 18:29,100,PC 20.02(c) Unlawful Restraint,WEST FWY & CHERRY LN,FORT WORTH,TX,L12,West,3,C,25,25 OTHER/UNKNOWN,
230311166-23C,230311166,1/24/2023,THEFT,1/23/2023 11:51,23C,PC 31.03(e)(3) Theft Property >= $750-$2500 Shopli,4200 SOUTH FWY,FORT WORTH,TX,I11,South,9,C,55,55 SHOPPING MALL,"(32.68740894175712, -97.32079903844469)"
230004601-280,230004601,1/18/2023,NARCOTIC VIOLATIONS,1/18/2023 10:33,280,PC 32.24 Stealing Recieving Stolen Property/Check/,2100 EAST LOOP 820 FWY,FORT WORTH,TX,G19,East,4,C,13,13 HIGHWAY/ROAD/ALLEY,
230008015-13B,230008015,1/31/2023,ASSAULT,1/31/2023 17:40,13B,PC 22.01(A)(1) Assault Causes Bodily Injury,4700 RIVER OAKS BLVD,FORT WORTH,TX,C16,Northwest,2,C,24,24 SPECIALTY STORE,"(32.780753629730796, -97.38994265609314)"
230008728-220,230008728,2/4/2023,BURGLARY COMMERCIAL,1/30/2023 12:00,220,PC 30.02(C)(1) Burglary of building,1200 WOODHAVEN BLVD,FORT WORTH,TX,H11,East,4,C,21,21 RESTAURANT,"(32.762115450185505, -97.23981870741234)"
230008426-90Z,230008426,2/3/2023,PENAL CODE,2/2/2023 18:00,90Z,PC 25.03(d) INTERFERENCE WITH CHILD CUSTODY,400 RUNNING WATER TRL,FORT WORTH,TX,F16,North,7,C,20,20 RESIDENCE/HOME,"(32.8924577217186, -97.36889297793104)"
230311321-23H,230311321,2/2/2023,THEFT,1/27/2023 0:00,23H,PC 31.03(e)(2)(A)  Theft Property >=$100<$750,4200 SOUTH FWY,FORT WORTH,TX,I11,South,9,C,20,20 RESIDENCE/HOME,"(32.68740894175712, -97.32079903844469)"
230007914-23H,230007914,1/30/2023,THEFT,1/18/2023 0:00,23H,PC 31.03(e)(2)(A)  Theft Property >=$100<$750,1800 WESTERN CENTER BLVD,FORT WORTH,TX,F17,North,2,C,20,20 RESIDENCE/HOME,"(32.863004402026796, -97.33741054860495)"
230008197-220,230008197,2/2/2023,BURGLARY COMMERCIAL,1/18/2023 0:00,220,PC 30.02(C)(1) Burglary of building,4900 BRENTWOOD STAIR RD,FORT WORTH,TX,G13,East,8,C,19,19 RENTAL STORAGE FACILITY,"(32.75852628975769, -97.24780866541775)"
230008841-520,230008841,2/5/2023,PENAL CODE,2/5/2023 2:15,520,PC 42.12(B) Discharge Firearm Certain Munici,8100 FLOWERTREE DR,FORT WORTH,TX,E14,North,4,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.889076862853265, -97.29992111920032)"
230008427-290,230008427,2/3/2023,CRIMINAL MISCHIEF,1/30/2023 17:00,290,PC 28.03(B)(2)  Crim Misc>=$100<$750,1200 OVERLOOK TERR,FORT WORTH,TX,H11,East,4,C,5,05 COMMERCIAL/OFFICE BUILDING,"(32.76231121096243, -97.23676439155463)"
230007988-23H,230007988,1/31/2023,THEFT,1/30/2023 10:30,23H,GC  085-07 Theft under $100,5900 MEADOWBROOK DR,FORT WORTH,TX,G19,East,4,C,20,20 RESIDENCE/HOME,"(32.746133182755095, -97.22845375862687)"
230004601-35A,230004601,1/18/2023,NARCOTIC VIOLATIONS,1/18/2023 10:33,35A,HSC 481.115(D) Poss CS PG 1 >=4G<200G,2100 EAST LOOP 820 FWY,FORT WORTH,TX,G19,East,4,C,13,13 HIGHWAY/ROAD/ALLEY,
230007996-220,230007996,1/31/2023,BURGLARY RESIDENTIAL,1/31/2023 12:34,220,PC 30.02(C)(2) Burglary Habitation,2300 RIDGMAR BLVD,FORT WORTH,TX,L11,West,3,C,20,20 RESIDENCE/HOME,"(32.73736055269697, -97.42491789298019)"
230004297-240,230004297,1/17/2023,011720230954,1/14/2023 0:00,240,PC 31.03(E)(4)(A)AUTO Theft>$1500<$20K (Auto theft,2800 LEITH AVE,FORT WORTH,TX,J12,South,9,C,13,13 HIGHWAY/ROAD/ALLEY,
230009574-240,230009574,2/7/2023,MISSING VEHICLE,2/7/2023 16:38,240,PC 31.07 UUMV-Unauthorized Use of Motor Vehicle,JACKSBORO HWY,FORT WORTH,TX,D12,Northwest,2,C,12,12 GROCERY/SUPERMARKET,
220313009-90Z,220313009,1/25/2023,DUMPING,12/2/2022 0:00,90Z,HSC 365.012(E) Illegal Dumping >5 lbs<500 lbs,2000 BELLE AVE,FORT WORTH,TX,C13,Northwest,2,C,13,13 HIGHWAY/ROAD/ALLEY,
230005465-35A,230005465,1/21/2023,NARCOTIC VIOLATIONS,1/21/2023 16:21,35A,HSC 481.115(C) Poss CS PG 1 >=1G<4G,2800 E LANCASTER AVE,FORT WORTH,TX,G11,East,8,C,13,13 HIGHWAY/ROAD/ALLEY,
230005465-90Z,230005465,1/21/2023,NARCOTIC VIOLATIONS,1/21/2023 16:21,90Z,PC 38.02(C)(2) Fail ID Giving False/Fic Info,2800 E LANCASTER AVE,FORT WORTH,TX,G11,East,8,C,13,13 HIGHWAY/ROAD/ALLEY,
230006836-90C,230006836,1/25/2023,PROSTITUTION,1/25/2023 22:30,90C,PC 21.07(b) Public Lewdness,12300 CALLOWAY CEMETERY RD,FORT WORTH,TX,H17,East,5,C,25,25 OTHER/UNKNOWN,
230009190-220,230009190,2/6/2023,BURGLARY COMMERCIAL,9/25/2022 15:30,220,PC 30.02(C)(1) Burglary of building,4900 BRENTWOOD STAIR RD,FORT WORTH,TX,G13,East,8,C,19,19 RENTAL STORAGE FACILITY,"(32.75852628975769, -97.24780866541775)"
230010098-26G,230010098,2/9/2023,PENAL CODE,2/7/2023 18:00,26G,PC 33.02(A) Computer Security Breach,7200 MARTHA LN,FORT WORTH,TX,H13,East,4,C,20,20 RESIDENCE/HOME,"(32.747884324170215, -97.20359150878069)"
230008654-WAR,230008654,2/4/2023,CRIMINAL MISCHIEF,2/4/2023 9:14,WAR,OT WARRANT Out of Town Warrant,4900 SOUTH FWY,FORT WORTH,TX,I15,South,9,C,18,18 PARKING LOT/GARAGE,
230010431-13B,230010431,2/10/2023,ASSAULT,2/10/2023 19:00,13B,PC 22.01(A)(1)FV Aslt Causes B/I Family Member,2600 GOULD AVE,FORT WORTH,TX,C13,Northwest,2,C,20,20 RESIDENCE/HOME,"(32.79181966494972, -97.36031831680252)"
230009785-23H,230009785,2/8/2023,THEFT,2/8/2023 12:12,23H,GC  085-07 Theft under $100,5000 ELGIN ST,FORT WORTH,TX,G15,East,5,C,18,18 PARKING LOT/GARAGE,"(32.724394347238004, -97.24644868068043)"
230009918-23H,230009918,2/9/2023,THEFT,2/9/2023 0:02,23H,PC 31.03(E)(3)   Theft prop>=$750<$2500,100 NW 25TH ST,FORT WORTH,TX,C13,Northwest,2,C,21,21 RESTAURANT,"(32.789824903416175, -97.34942851994569)"
230008654-290,230008654,2/4/2023,CRIMINAL MISCHIEF,2/4/2023 9:14,290,PC 28.03(b)(2) Criminal Mischief >=$100<$750,4900 SOUTH FWY,FORT WORTH,TX,I15,South,9,C,18,18 PARKING LOT/GARAGE,
230311722-23F,230311722,2/11/2023,THEFT,2/11/2023 9:10,23F,PC 31.03(E)(4)(A)  2015 Theft Prop>=$2500<$30k- st,4200 SOUTH FWY,FORT WORTH,TX,I11,South,9,C,18,18 PARKING LOT/GARAGE,"(32.68740894175712, -97.32079903844469)"
230009111-13A,230009111,2/6/2023,ASSAULT,2/6/2023 8:33,13A,PC 22.02(a)(1) Aggravated Assault causes serious b,1600 S BEACH ST,FORT WORTH,TX,B18,Central,8,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.728504200762195, -97.28975798135707)"
230311540-23H,230311540,2/2/2023,THEFT,2/2/2023 13:55,23H,PC 31.03(E)(4)(A) Theft Property >= $2500<$30K  (t,4600 NORWICH DR,FORT WORTH,TX,K17,West,3,C,25,25 OTHER/UNKNOWN,"(32.681160030954096, -97.37683270114087)"
230009988-13B,230009988,2/9/2023,ASSAULT,2/9/2023 8:42,13B,PC 22.01(b)(2)(A) Assault Family/Household Member,1000 DOVE DR,FORT WORTH,TX,H13,East,5,C,20,20 RESIDENCE/HOME,"(32.764056065633746, -97.20644078307599)"
230009612-90Z,230009612,2/7/2023,HARASS,2/7/2023 13:30,90Z,PC 42.07(C) Harassment,2400 DILLARD ST,FORT WORTH,TX,G15,East,5,C,20,20 RESIDENCE/HOME,"(32.722012756813164, -97.24287893263471)"
230009786-23G,230009786,2/8/2023,THEFT,11/25/2022 11:24,23G,PC 31.03(e)(2)(A) Theft Property >=$100<$750 (moto,1300 NW 23RD ST,FORT WORTH,TX,C13,Northwest,2,C,20,20 RESIDENCE/HOME,"(32.786282846546676, -97.36384876042402)"
230008658-240,230008658,2/4/2023,AUTO THEFT,2/3/2023 23:00,240,PC 31.03(E)(4)(A)AUTO Theft>$1500<$20K (Auto theft,8800 HORNADAY CIR N,FORT WORTH,TX,H16,East,5,C,20,20 RESIDENCE/HOME,
230008283-240,230008283,2/2/2023,AUTO THEFT,2/2/2023 14:30,240,PC 31.03(E)(4)(A)AUTO2015 Theft Prop>=$2500<$30k A,6000 BRIDGE ST,FORT WORTH,TX,H11,East,4,C,20,20 RESIDENCE/HOME,
230311687-23H,230311687,2/6/2023,THEFT,2/6/2023 9:35,23H,PC 31.03(e)(2)(A)  Theft Property >=$100<$750,700 MAIN ST,FORT WORTH,TX,A15,Central,9,C,14,14 HOTEL/MOTEL/ETC.,"(32.753163827539005, -97.33033068667585)"
230008982-220,230008982,2/5/2023,BURGLARY COMMERCIAL,2/5/2023 17:30,220,PC 30.02(C)(1) Burglary of building,3400 DEEN RD,FORT WORTH,TX,C12,Northwest,2,C,5,05 COMMERCIAL/OFFICE BUILDING,"(32.805484414742786, -97.32573157233459)"
230311442-220,230311442,1/30/2023,BURGLARY COMMERCIAL,10/30/2022 12:00,220,PC 30.02(C)(1) Burglary of building,4900 BRENTWOOD STAIR RD,FORT WORTH,TX,G13,East,8,C,19,19 RENTAL STORAGE FACILITY,"(32.75852628975769, -97.24780866541775)"
230311450-23F,230311450,2/5/2023,THEFT RECYCLE,1/27/2022 18:30,23F,PC 31.03(E)(4)(A)  2015 Theft Prop>=$2500<$30k- st,3100 ALLIANCE GATEWAY FWY,FORT WORTH,TX,F12,North,7,C,18,18 PARKING LOT/GARAGE,"(32.966483507077044, -97.29553294928931)"
230311481-290,230311481,1/31/2023,CRIMINAL MISCHIEF,1/31/2023 16:10,290,PC 28.03(B)(3)(A) 2015 Crim Misch>=$750<$2500,3400 CLINTON AVE,FORT WORTH,TX,D12,Northwest,2,C,4,04 CHURCH/SYNAGOGUE/TEMPLE,"(32.806979149221256, -97.35495938569585)"
230008995-13B,230008995,2/5/2023,ASSAULT,2/5/2023 19:06,13B,PC 22.01(A)(1)FV Aslt Causes B/I Family Member,5600 SW LOOP 820,FORT WORTH,TX,K18,West,6,C,18,18 PARKING LOT/GARAGE,"(32.682461661015985, -97.41055756803101)"
230009212-23F,230009212,2/6/2023,BURGLARY VEHICLE COMMERCI,2/5/2023 18:00,23F,PC 30.04(A) Burglary Vehicle,8900 SADDLE FREE TRL,FORT WORTH,TX,J18,South,6,C,20,20 RESIDENCE/HOME,"(32.612257894369534, -97.42816363576307)"
230009988-35A,230009988,2/9/2023,ASSAULT,2/9/2023 8:42,35A,HSC 481.121(B)(1) Poss Marij <=2OZ,1000 DOVE DR,FORT WORTH,TX,H13,East,5,C,20,20 RESIDENCE/HOME,"(32.764056065633746, -97.20644078307599)"
230010017-23H,230010017,2/9/2023,THEFT,2/9/2023 4:30,23H,GC  085-07 Theft under $100,4200 SOUTH FWY,FORT WORTH,TX,I11,South,9,C,21,21 RESTAURANT,"(32.68740894175712, -97.32079903844469)"
230008982-35A,230008982,2/5/2023,BURGLARY COMMERCIAL,2/5/2023 17:30,35A,HSC 481.115(B) Poss CS PG 1 <1G,3400 DEEN RD,FORT WORTH,TX,C12,Northwest,2,C,5,05 COMMERCIAL/OFFICE BUILDING,"(32.805484414742786, -97.32573157233459)"
230010012-220,230010012,2/9/2023,BURGLARY VEHICLE COMMERCI,2/8/2023 17:00,220,PC 30.04(d)(2)(B) Burglary of Vehicles Rail Car,900 E VICKERY BLVD,FORT WORTH,TX,B12,Central,8,C,25,25 OTHER/UNKNOWN,"(32.743211981558545, -97.3165124932693)"
230009293-23H,230009293,2/6/2023,THEFT,2/5/2023 15:30,23H,PC 31.03(e)(2)(A)  Theft Property >=$100<$750,2300 COLUMBUS AVE,FORT WORTH,TX,C13,Northwest,2,A,13,13 HIGHWAY/ROAD/ALLEY,"(32.786395465329264, -97.36486064081798)"
230006176-240,230006176,1/24/2023,AUTO THEFT,1/23/2023 21:00,240,PC 31.03(E)(4)(A)AUTO2015 Theft Prop>=$2500<$30k A,6400 WILDWOOD CIR S,FORT WORTH,TX,K18,West,6,C,20,20 RESIDENCE/HOME,
230010716-90D,230010716,2/12/2023,DWI,2/12/2023 0:19,90D,PC 49.04(D) DWI BAC >= 0.15,100 IH 30 WB BRIDGE BLUE LAKE RAMP,FORT WORTH,TX,G13,East,4,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.75957451988311, -97.25303505262093)"
230011941-220,230011941,2/16/2023,BURGLARY VEHICLE COMMERCI,2/15/2023 18:00,220,PC 30.04(d)(2)(B) Burglary of Vehicles Rail Car,900 E VICKERY BLVD,FORT WORTH,TX,B12,Central,8,C,25,25 OTHER/UNKNOWN,"(32.743211981558545, -97.3165124932693)"
230010900-13B,230010900,2/12/2023,ASSAULT C,2/10/2023 20:00,13B,GC 088 Assault by Offensive Contact-Class C,1300 BOMBER RD,FORT WORTH,TX,D13,Northwest,7,C,21,21 RESTAURANT,"(32.781178999584235, -97.4527782040891)"
230011768-90Z,230011768,2/15/2023,AG ASSAULT,2/15/2023 16:57,90Z,PC 38.03(A) Resisting Arr/Search/Transport,4000 JAMES AVE,FORT WORTH,TX,J11,South,9,C,20,20 RESIDENCE/HOME,"(32.689850078631856, -97.34485374774205)"
230010862-23F,230010862,2/12/2023,BURGLARY VEHICLE,2/12/2023 10:45,23F,PC 30.04(A) Burglary Vehicle,4200 SOUTH FWY,FORT WORTH,TX,I11,South,9,C,18,18 PARKING LOT/GARAGE,"(32.68740894175712, -97.32079903844469)"
230009487-220,230009487,2/7/2023,AUTO THEFT,2/7/2023 5:44,220,PC 30.02(C)(1) Burglary of building,1400 NORTH PARK DR,FORT WORTH,TX,A11,Central,9,C,5,05 COMMERCIAL/OFFICE BUILDING,
230010282-23G,230010282,2/10/2023,THEFT RECYCLE,2/9/2023 12:30,23G,PC 31.03(E)(3) Theft Property >=$750<$2500 Auto Pa,6300 OAKMONT BLVD,FORT WORTH,TX,K18,West,6,C,9,09 DRUG STORE/DOCTOR'S OFFICE/HOSPITAL,
230010338-220,230010338,2/10/2023,BURGLARY COMMERCIAL,1/28/2023 13:00,220,PC 30.02(C)(1) Burglary of building,200 ATHENIA DR,FORT WORTH,TX,K13,West,7,C,6,06 CONSTRUCTION SITE,
230012460-90D,230012460,2/18/2023,DWI,2/18/2023 3:17,90D,PC 49.04 Driving While Intoxicated,3500 CAMP BOWIE BLVD,FORT WORTH,TX,K13,West,7,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.748605452265416, -97.36821568751084)"
230012358-90J,230012358,2/17/2023,CRIMINAL TRESPASS,2/17/2023 18:36,90J,PC 30.05(d)(1) Criminal Trespass,2800 HANNA AVE,FORT WORTH,TX,D11,Northwest,2,C,20,20 RESIDENCE/HOME,"(32.79626759718186, -97.37182695717307)"
230010956-23H,230010956,2/13/2023,THEFT,2/12/2023 23:00,23H,PC 31.03(E)(3)   Theft prop>=$750<$2500,2600 RACE ST,FORT WORTH,TX,A12,Central,9,C,20,20 RESIDENCE/HOME,"(32.773203508033106, -97.30774409263941)"
230011597-23F,230011597,2/15/2023,BURGLARY VEHICLE,2/14/2023 18:30,23F,PC 30.04(A) Burglary Vehicle,7200 LOS PADRES TRL,FORT WORTH,TX,E13,North,4,C,20,20 RESIDENCE/HOME,"(32.87131167939755, -97.2744585477827)"
230011378-40B,230011378,2/14/2023,PROSTITUTION,2/14/2023 13:31,40B,PC 43.021(b) Solicit Prostitution /Other Payor,E LANCASTER AVE & CHICAGO AVE,FORT WORTH,TX,G14,East,8,C,13,13 HIGHWAY/ROAD/ALLEY,
230011768-13A,230011768,2/15/2023,AG ASSAULT,2/15/2023 16:57,13A,PC 22.02(A)(2)FAMILY Agg Assault w/Deadly Weapon F,4000 JAMES AVE,FORT WORTH,TX,J11,South,9,C,20,20 RESIDENCE/HOME,"(32.689850078631856, -97.34485374774205)"
230011423-26F,230011423,2/14/2023,FRAUD,6/15/2022 0:00,26F,PC 32.51(C)(1) Fraud Use Poss of ID Info<5 items,4600 S HULEN ST,FORT WORTH,TX,K18,West,6,C,25,25 OTHER/UNKNOWN,"(32.680039723645535, -97.39342637414812)"
230012406-240,230012406,2/17/2023,AUTO THEFT,2/17/2023 21:27,240,PC 31.03(E)(5) AUTO Theft>=$20k<$100k (Auto theft),1300 8TH AVE,FORT WORTH,TX,B14,Central,9,C,18,18 PARKING LOT/GARAGE,"(32.730545898879086, -97.34369500664657)"
230012077-520,230012077,2/16/2023,DEADLY CONDUCT-SHOOTING,2/16/2023 16:15,520,PC 42.12(B) Discharge Firearm Certain Munici,5600 MEADOWBROOK DR,FORT WORTH,TX,G19,East,5,C,7,07 CONVENIENCE STORE,"(32.746020521646955, -97.23257099060308)"
230009500-240,230009500,2/7/2023,AUTO THEFT,2/6/2023 18:30,240,PC 31.03(E)(4)(A)AUTO2015 Theft Prop>=$2500<$30k A,5400 RUTLAND AVE,FORT WORTH,TX,J15,South,6,C,20,20 RESIDENCE/HOME,
230012700-23H,230012700,2/19/2023,THEFT,2/18/2023 8:00,23H,GC  085-07 Theft under $100,3400 AVE L,FORT WORTH,TX,G12,East,5,C,20,20 RESIDENCE/HOME,"(32.725268086193736, -97.27643070498489)"
230311775-23F,230311775,2/13/2023,BURGLARY VEHICLE,2/8/2023 0:00,23F,PC 30.04(A) Burglary Vehicle,4000 HONEYAPPLE WAY,FORT WORTH,TX,E11,North,4,C,20,20 RESIDENCE/HOME,"(32.84852856262269, -97.29553373957296)"
230311963-23F,230311963,2/13/2023,BURGLARY VEHICLE,2/12/2023 2:40,23F,PC 30.04(A) Burglary Vehicle,2400 OAK HILL CIR,FORT WORTH,TX,K15,West,3,C,18,18 PARKING LOT/GARAGE,"(32.715086145910135, -97.38169953942338)"
230011364-23F,230011364,2/14/2023,BURGLARY VEHICLE,2/9/2023 18:00,23F,PC 30.04(A) Burglary Vehicle,2800 LAS VEGAS TRL,FORT WORTH,TX,L15,West,3,C,18,18 PARKING LOT/GARAGE,"(32.73514127044438, -97.46660963021786)"
230012626-220,230012626,2/18/2023,BURGLARY RESIDENTIAL,2/18/2023 19:45,220,PC 30.02(C)(2) Burglary Habitation,2500 RIDGMAR BLVD,FORT WORTH,TX,L11,West,3,C,20,20 RESIDENCE/HOME,"(32.735789955752274, -97.42439825833435)"
230011768-13B,230011768,2/15/2023,AG ASSAULT,2/15/2023 16:57,13B,PC 22.01(B)(1) Assault Pub Servant,4000 JAMES AVE,FORT WORTH,TX,J11,South,9,C,20,20 RESIDENCE/HOME,"(32.689850078631856, -97.34485374774205)"
230011674-23F,230011674,2/15/2023,BURGLARY VEHICLE,2/13/2023 20:00,23F,PC 30.04(A) Burglary Vehicle,2800 THORSON LN,FORT WORTH,TX,L15,West,3,C,20,20 RESIDENCE/HOME,"(32.732139828601326, -97.45543861519208)"
230011874-35A,230011874,2/16/2023,NARCOTIC VIOLATIONS,2/16/2023 1:16,35A,HSC 481.115(D) Poss CS PG 1 >=4G<200G,CAMP BOWIE WEST BLVD,FORT WORTH,TX,L17,West,3,C,13,13 HIGHWAY/ROAD/ALLEY,
230008963-13B,230008963,2/5/2023,SEXUAL ASSAULT,2/5/2023 16:38,13B,PC 22.01(A)(1)FV Aslt Causes B/I Family Member,2800 PEARL AVE,FORT WORTH,TX,D11,Northwest,2,C,20,20 RESIDENCE/HOME,
